predict,phat
0.9230007,0.07699933
0.95977885,0.040221218
0.8355382,0.16446175
0.9582809,0.041719116
0.8432105,0.15678947
0.97971123,0.020288717
0.9837839,0.016216164
0.97211534,0.027884606
0.801663,0.19833697
0.9704504,0.02954962
0.89756715,0.102432854
0.99283856,0.0071615074
0.99241066,0.0075893924
0.8737437,0.1262563
0.91084516,0.08915479
0.91605633,0.083943665
0.97850275,0.021497296
0.9857539,0.01424609
0.8561221,0.1438779
0.86867386,0.13132618
0.97850776,0.021492256
0.96568996,0.03431001
0.9664479,0.033552162
0.80539113,0.19460884
0.72112256,0.27887747
0.9620177,0.0379823
0.7872662,0.21273379
0.9702204,0.029779581
0.76996595,0.2300341
0.99009776,0.009902298
0.60589653,0.39410347
0.98467064,0.015329421
0.8579105,0.14208949
0.9899277,0.010072227
0.96610004,0.033899985
0.9943116,0.0056884093
0.985173,0.014827023
0.9916522,0.008347769
0.90786564,0.09213438
0.9956456,0.0043543414
0.8941182,0.105881765
0.95336664,0.04663334
0.9575816,0.042418472
0.8262828,0.17371723
0.98442554,0.015574454
0.79441345,0.20558652
0.9708289,0.029171098
0.99177563,0.00822441
0.99289024,0.0071097184
0.84794587,0.15205416
0.98859966,0.011400327
0.9560454,0.04395456
0.99636984,0.0036301871
0.9694383,0.030561656
0.9542086,0.04579144
0.9900423,0.0099576255
0.98615855,0.013841376
0.989145,0.010855077
0.9915393,0.008460638
0.9808857,0.01911434
0.9825106,0.01748939
0.9781852,0.021814784
0.88124496,0.11875499
0.9346135,0.065386444
0.8580929,0.14190714
0.7644051,0.23559496
0.9474463,0.05255369
0.9470598,0.052940145
0.9947884,0.0052115973
0.9604829,0.039517082
0.98415357,0.015846394
0.825337,0.17466298
0.99536526,0.0046346867
0.9914426,0.008557348
0.85862637,0.14137362
0.6929236,0.3070764
0.9635329,0.03646711
0.89775765,0.10224232
0.8577671,0.1422329
0.9157991,0.08420086
0.96266854,0.037331507
0.7096625,0.2903375
0.8896136,0.110386364
0.9825775,0.017422466
0.79174525,0.20825477
0.83925474,0.16074528
0.947943,0.05205701
0.9844214,0.015578637
0.78596723,0.21403272
0.98760706,0.012392897
0.9924213,0.0075786826
0.9384359,0.06156413
0.9853919,0.014608049
0.95340216,0.0465979
0.96266246,0.037337482
0.8872121,0.11278789
0.96552193,0.03447809
0.9936593,0.006340682
0.94273716,0.057262857
0.7979041,0.20209599
0.9131213,0.08687865
0.8718627,0.12813732
0.87300414,0.12699585
0.9164133,0.083586685
0.999863,0.00013696802
0.7523404,0.24765962
0.99290705,0.007092932
0.8331587,0.16684136
0.7587276,0.24127242
0.9903833,0.0096167065
0.8743799,0.1256201
0.8574391,0.14256091
0.7470373,0.25296268
0.87809664,0.12190341
0.93275595,0.06724411
0.7083487,0.2916513
0.990393,0.009607011
0.9253344,0.074665606
0.981307,0.018692981
0.8578501,0.14214988
0.92668843,0.07331153
0.9103777,0.08962225
0.963246,0.036754034
0.99004036,0.009959595
0.41153497,0.58846503
0.9820855,0.01791445
0.6454402,0.35455975
0.7871862,0.21281378
0.8129896,0.18701042
0.74993455,0.25006545
0.98510635,0.014893611
0.6945832,0.30541685
0.99126947,0.008730587
0.89252675,0.10747324
0.7854139,0.2145861
0.9872792,0.012720858
0.91505945,0.08494058
0.9881892,0.0118108
0.5084288,0.49157113
0.9876894,0.012310646
0.9910523,0.00894765
0.9655486,0.03445144
0.9042304,0.0957696
0.9694192,0.030580806
0.9754715,0.024528502
0.80067915,0.1993209
0.8311774,0.16882257
0.98533267,0.014667362
0.68772614,0.31227383
0.9837768,0.016223202
0.95600516,0.043994777
0.85585546,0.1441446
0.77615786,0.22384214
0.98932356,0.010676408
0.9781747,0.021825366
0.9503762,0.049623746
0.8744758,0.12552425
0.90047306,0.09952695
0.914178,0.085821986
0.9146545,0.08534551
0.8695255,0.13047448
0.9935395,0.0064605544
0.9838455,0.016154533
0.9802419,0.019758157
0.9444548,0.055545174
0.98968226,0.010317737
0.87015975,0.12984025
0.9918771,0.008122926
0.9864086,0.0135913575
0.9953296,0.0046703997
0.86464167,0.13535833
0.9701855,0.029814528
0.8800879,0.11991214
0.99170965,0.00829032
0.7070932,0.29290676
0.9913156,0.008684322
0.9886253,0.011374774
0.98483086,0.015169161
0.82510126,0.1748987
0.98803014,0.011969898
0.9339333,0.06606663
0.9985318,0.0014681309
0.81015766,0.18984239
0.741063,0.258937
0.7322723,0.26772767
0.85123056,0.14876944
0.7212275,0.2787725
0.9906408,0.009359139
0.9646572,0.035342827
0.97358876,0.026411282
0.8922314,0.10776862
0.80871105,0.1912889
0.9206755,0.07932442
0.9574311,0.042568907
0.8973391,0.10266084
0.8770598,0.12294021
0.994017,0.005982927
0.9673039,0.0326961
0.99218774,0.0078122024
0.8898816,0.11011834
0.9900821,0.009917949
0.8820732,0.11792673
0.8784073,0.12159266
0.9912252,0.008774778
0.99588877,0.004111266
0.89369345,0.106306545
0.8431903,0.15680963
0.97260576,0.02739425
0.8852122,0.114787795
0.9747464,0.025253663
0.96394145,0.036058493
0.70828766,0.29171237
0.8894477,0.11055229
0.81229496,0.18770508
0.99005544,0.00994458
0.9913311,0.008668881
0.99259937,0.0074007055
0.90220195,0.09779804
0.99444216,0.005557881
0.99273574,0.0072642146
0.9921639,0.0078361165
0.9610378,0.038962204
0.9926494,0.0073505775
0.83703303,0.16296698
0.69178146,0.3082185
0.7390111,0.26098892
0.992067,0.007932986
0.9880541,0.011945921
0.785989,0.214011
0.98046863,0.019531358
0.88463575,0.115364216
0.74848753,0.25151244
0.9259857,0.074014336
0.90826297,0.09173703
0.8817246,0.11827535
0.90156484,0.098435186
0.9927522,0.0072478172
0.6973547,0.30264536
0.88333726,0.116662756
0.98783094,0.012169013
0.995248,0.0047520055
0.97860706,0.021392923
0.90464985,0.09535012
0.83211195,0.16788808
0.8098229,0.19017707
0.98742527,0.012574761
0.98400855,0.015991429
0.9696787,0.030321322
0.97407246,0.025927521
0.76438683,0.2356132
0.8384348,0.16156521
0.8736344,0.12636562
0.9965791,0.00342092
0.99357855,0.0064214794
0.891997,0.10800304
0.8576175,0.14238249
0.8460153,0.15398474
0.8699788,0.13002117
0.99527305,0.0047269803
0.9790613,0.020938696
0.77286226,0.22713782
0.8000786,0.19992146
0.9815599,0.018440096
0.9984976,0.0015023943
0.80669534,0.19330469
0.9851633,0.014836687
0.8316039,0.1683961
0.9758261,0.024173876
0.992574,0.0074260496
0.98213345,0.017866602
0.98603904,0.013960955
0.88513905,0.11486093
0.6868535,0.31314647
0.89398444,0.106015585
0.9936446,0.0063554384
0.8495839,0.15041605
0.9422386,0.057761427
0.6899723,0.31002772
0.9771146,0.022885365
0.83679193,0.16320813
0.7341402,0.26585972
0.83376724,0.16623281
0.98664445,0.013355525
0.9909565,0.009043565
0.85229474,0.14770526
0.7412619,0.2587381
0.89228994,0.10771001
0.9919996,0.008000391
